seqID	sampleID	patientID	experiment	Time	group	group2	pcoa03_axis1	pcoa03_axis2	pcoa03_axis3	nmds03_axis1	nmds03_axis2	nmds03_axis3	simpsoneven_03	simpson_03	simpson_lci_03	simpson_hci_03	invsimpson_03	invsimpson_lci_03	invsimpson_hci_03	shannon_03	shannon_lci_03	shannon_hci_03	npshannon_03	sobs_03	chao_03	chao_lci_03	chao_hci_03	nseqs	Otu0001	Otu0002	Otu0003	Otu0004	Otu0005	Otu0006	Otu0007	Otu0008	Otu0009	Otu0010	Otu0011	Otu0012	Otu0013	Otu0014	Otu0015	Otu0016	Otu0017	Otu0018	Otu0019	Otu0020	Otu0021	Otu0022	Otu0023	Otu0024	Otu0025	Otu0026	Otu0027	Otu0028	Otu0029	Otu0030	Otu0031	Otu0032	Otu0033	Otu0034	Otu0035	Otu0036	Otu0037	Otu0038	Otu0039	Otu0040	Otu0041	Otu0042	Otu0043	Otu0044	Otu0045	Otu0046	Otu0047	Otu0048	Otu0049	Otu0050	Otu0051	Otu0052	Otu0053	Otu0054	Otu0055	Otu0056	Otu0057	Otu0058	Otu0059	Otu0060	Otu0061	Otu0062	Otu0063	Otu0064	Otu0065	Otu0066	Otu0067	Otu0068	Otu0069	Otu0070	Otu0071	Otu0072	Otu0073	Otu0074	Otu0075	Otu0076	Otu0077	Otu0078	Otu0079	Otu0080	Otu0081	Otu0082	Otu0083	Otu0084	Otu0085	Otu0086	Otu0087	Otu0088	Otu0089	Otu0090	Otu0091	Otu0092	Otu0093	Otu0094	Otu0095	Otu0096	Otu0097	Otu0098	Otu0099	Otu0100	Otu0101	Otu0102	Otu0103	Otu0104	Otu0105	Otu0106	Otu0107	Otu0108	Otu0109	Otu0110	Otu0111	Otu0112	Otu0113	Otu0114	Otu0115	Otu0116	Otu0117	Otu0118	Otu0119	Otu0120	Otu0121	Otu0122	Otu0123	Otu0124	Otu0125	Otu0126	Otu0127	Otu0128	Otu0129	Otu0130	Otu0131	Otu0132	Otu0133	Otu0134	Otu0135	Otu0136	Otu0137	Otu0138	Otu0139	Otu0140	Otu0141	Otu0142	Otu0143	Otu0144	Otu0145	Otu0146	Otu0147	Otu0148	Otu0149	Otu0150	Otu0151	Otu0152	Otu0153	Otu0154	Otu0155	Otu0156	Otu0157	Otu0158	Otu0159	Otu0160	Otu0161	Otu0162	Otu0163	Otu0164	Otu0165	Otu0166	Otu0167	Otu0168	Otu0169	Otu0170	Otu0171	Otu0172	Otu0173	Otu0174	Otu0175	Otu0176	Otu0177	Otu0178	Otu0179	Otu0180	Otu0181	Otu0182	Otu0183	Otu0184	Otu0185	Otu0186	Otu0187	Otu0188	Otu0189	Otu0190
17752n06	17752n06	17752	chen_model	-6	xg	xg	0.383249	0.368933	0.010506	-0.060196	-0.007268	0.606529	0.083891	0.039471	0.03829	0.040652	25.335047	24.599043	26.116452	3.95828	3.9373	3.97926	3.979436	302	562.652174	452.288191	754.061839	18758	163	6	992	2494	1083	0	318	96	1038	267	0	844	0	373	348	0	1	19	0	13	0	266	781	0	176	279	116	0	67	350	215	343	49	7	100	364	0	0	0	150	0	0	26	350	0	152	0	302	158	1051	89	0	227	0	0	46	0	0	0	0	40	0	0	48	7	28	18	62	35	0	4	40	11	90	5	29	72	15	115	194	241	57	6	111	1	8	339	166	58	0	1	86	1	0	7	38	104	201	158	0	0	210	38	121	6	35	0	6	83	65	0	0	18	53	7	0	0	0	29	18	0	30	1	0	21	6	45	0	0	58	86	0	22	1	30	25	34	0	0	49	213	43	15	14	39	7	46	8	0	7	9	31	10	8	11	13	27	137	2	0	72	0	42	104	59	0	1	0	5	6	0	0	0	42	6	0	1	7	19	0	18	4	0	9	0	7	0	0	0	7
17752n08	17752n08	17752	chen_model	-8	xg	xg	0.238422	0.486565	0.136778	0.02305	-0.239451	0.529876	0.081589	0.042706	0.041797	0.043615	23.415935	22.92782	23.925286	3.693065	3.671722	3.714409	3.720193	287	441.583333	379.334089	545.799401	16839	1202	4	214	1585	1360	2	618	291	859	479	0	1119	5	687	210	0	1	1004	0	6	1	809	424	0	16	27	125	0	684	232	108	170	185	0	108	234	0	0	0	397	0	66	62	136	0	50	0	64	92	4	226	0	244	0	0	6	0	0	0	0	54	0	0	12	7	5	7	7	4	0	6	1	16	310	5	6	63	28	42	58	106	56	18	43	3	12	62	208	29	3	0	63	0	0	0	0	30	138	36	0	0	66	4	52	0	16	1	36	20	39	0	0	6	35	2	0	0	0	2	0	0	10	5	0	14	7	13	0	1	12	44	0	0	4	1	5	12	1	0	8	15	43	6	3	83	3	1	7	0	0	7	35	0	0	10	11	1	0	0	0	15	0	16	19	80	0	0	0	3	18	0	0	0	15	22	0	1	3	7	0	10	6	0	0	0	0	2	0	2	1
17752p00	17752p00	17752	chen_model	0	xg	xg	-0.238181	-0.248842	0.015831	0.255914	0.217691	-0.360473	0.042246	0.328765	0.323817	0.333713	3.041687	2.99659	3.088162	1.483958	1.465081	1.502834	1.493338	72	153.2	101.106188	298.530524	18191	4739	8895	730	2537	73	0	46	3	18	41	0	1	0	24	17	0	461	0	0	0	1	12	0	0	0	0	16	0	4	10	22	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	22	0	0	0	0	1	0	0	0	1	123	2	0	59	0	0	0	0	0	0	26	0	0	0	0	0	0	56	0	0	0	1	0	0	0	0	0	0	0	85	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0	0
17752p01	17752p01	17752	chen_model	1	xg	xg	0.308771	-0.253514	-0.182236	-0.104092	0.42343	0.080245	0.064184	0.164003	0.161146	0.166859	6.097462	5.993086	6.205537	2.278776	2.258484	2.299069	2.289412	95	157.333333	120.285161	248.665008	17313	760	2946	4293	4305	75	0	76	3	2	5	0	0	23	75	1332	0	180	0	0	0	0	0	0	0	16	4	700	0	0	0	105	0	5	435	0	0	0	0	0	0	0	0	0	1	0	0	0	34	0	0	0	0	0	0	0	188	0	0	0	1	95	0	0	0	43	346	206	0	24	0	0	0	0	0	0	147	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	431	0	0	0	0	14	0	0	0	0	35	0	10	0	5	0	0	0	9	54	0	0	1	0	0	0	0	0	0	0	3	119	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	2	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	5	0	0	0	0
17752p04	17752p04	17752	chen_model	4	xg	xg	0.450723	0.064523	-0.104237	-0.283054	0.222095	0.389972	0.052522	0.083875	0.082106	0.085644	11.922539	11.676279	12.179411	3.165311	3.146007	3.184615	3.181438	227	316.516129	276.386877	389.25236	24512	260	56	4784	3510	586	0	120	1132	1581	2542	0	364	24	241	760	0	15	2	0	2	0	562	0	0	472	176	83	0	0	847	873	426	284	241	975	0	0	0	0	0	1	1	103	249	0	181	0	239	288	113	0	0	0	0	0	222	0	0	0	0	7	0	0	54	14	66	7	32	92	0	21	0	41	0	26	63	0	4	3	3	26	34	22	1	0	105	0	0	7	1	0	2	0	0	25	40	38	0	0	0	0	1	0	7	14	10	93	0	181	42	0	0	29	43	12	0	3	0	0	2	0	10	0	0	169	17	31	0	52	33	0	0	34	0	2	0	33	37	0	48	0	0	0	1	0	6	21	8	0	29	0	0	0	17	22	0	1	0	0	0	0	0	0	14	0	0	2	0	9	0	0	0	0	0	0	0	0	12	0	0	7	0	0	14	0	8	1	0	4	0
17752p07	17752p07	17752	chen_model	7	xg	xg	0.425713	0.233056	-0.234864	0.036244	0.270858	0.509054	0.038673	0.095066	0.092771	0.097361	10.518985	10.271051	10.779185	3.298733	3.279837	3.31763	3.313202	272	390.666667	340.170275	478.567714	31630	323	13	2459	8379	2229	0	112	564	1538	2101	2	858	49	132	348	1	15	0	0	14	0	800	0	0	223	506	135	0	17	781	1320	315	594	318	523	0	0	0	0	0	0	83	124	418	0	225	0	332	824	78	0	0	0	0	0	264	0	0	0	0	13	0	0	93	43	50	27	64	138	0	30	0	324	1	16	90	0	45	96	32	77	84	59	19	0	152	5	0	46	0	0	39	0	0	36	48	124	6	0	0	0	0	0	11	9	40	433	104	116	53	0	0	82	104	30	0	117	0	6	6	0	69	0	0	158	9	16	0	47	22	2	0	101	2	38	5	32	111	0	23	23	0	9	8	0	27	34	32	0	88	0	0	0	43	31	0	84	0	0	0	2	0	7	24	0	0	8	0	23	0	0	0	0	3	0	0	0	13	1	0	2	0	0	30	0	41	0	0	6	6
17753cec	17753cec	17753	chen_model	28	xg	xg	0.383045	0.37727	0.054884	0.01673	-0.009088	0.629114	0.054428	0.071213	0.069605	0.072821	14.042334	13.73228	14.366713	3.395806	3.375876	3.415736	3.410897	258	372	320.155402	467.088827	24685	95	6	1231	3125	4469	1	33	1302	2292	1151	3	471	18	559	583	0	3	1	2	60	1	688	0	0	135	678	55	1	11	708	417	374	87	49	303	0	0	0	0	0	0	77	80	192	0	56	0	215	152	414	0	0	0	0	0	143	0	0	0	0	7	0	0	31	7	194	15	52	179	0	8	644	2	0	9	183	2	87	116	22	73	162	26	253	4	56	1	3	12	0	0	48	0	0	45	144	48	0	0	0	0	95	0	32	16	16	10	6	22	32	0	0	42	72	5	0	298	0	18	9	0	49	0	0	29	6	23	0	8	39	31	0	57	1	50	51	41	51	0	29	43	34	5	31	0	9	33	27	0	8	0	0	0	32	23	9	60	0	1	0	58	0	18	0	1	0	4	0	7	0	0	0	0	11	0	0	0	8	8	0	5	0	0	3	0	23	0	0	19	8
17753n01	17753n01	17753	chen_model	-1	xg	xg	0.344134	-0.05977	-0.185706	-0.12771	0.26278	0.214294	0.060985	0.117967	0.115805	0.120129	8.476943	8.324394	8.635187	2.621087	2.603486	2.638689	2.635	139	207.142857	172.882795	276.044448	21957	2006	1637	4695	4558	1242	0	802	1348	652	1323	0	107	0	121	254	2	75	0	0	0	5	508	0	0	0	0	0	0	27	810	149	183	4	2	0	0	1	1	1	1	0	0	119	39	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	44	0	0	0	45	219	150	0	2	0	0	0	0	17	0	66	0	0	0	0	0	0	24	1	0	0	0	0	14	0	0	0	0	0	6	0	0	0	0	45	1	0	0	0	26	0	0	0	3	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	2	0	0	73	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	10	0	23	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	52	0	2	5	0	3	0
17753n06	17753n06	17753	chen_model	-6	xg	xg	0.369145	0.422723	-0.008197	0.096468	0.008576	0.625118	0.086885	0.056697	0.054653	0.058741	17.63764	17.023925	18.297258	3.618414	3.591725	3.645104	3.638243	203	256.04	229.361201	309.719023	12109	87	8	225	1992	1390	1	213	65	611	251	0	485	0	425	348	0	0	22	0	7	0	224	491	0	205	243	40	0	0	196	33	216	4	0	59	269	0	0	0	78	0	0	21	237	0	69	0	80	52	654	58	0	238	0	0	8	0	0	0	0	10	0	0	126	3	9	8	24	29	0	2	8	1	79	1	7	28	16	21	40	169	13	12	38	1	23	60	50	30	2	0	42	0	0	1	31	29	51	72	0	0	303	37	140	0	16	0	2	30	6	0	0	13	28	0	0	3	0	13	2	0	10	0	0	18	1	56	0	0	33	67	0	14	1	30	23	3	1	0	18	107	22	1	5	24	5	16	1	0	1	2	9	3	2	3	8	7	13	0	0	9	0	22	13	66	0	0	0	11	1	0	0	0	24	0	0	2	1	13	0	13	4	0	7	0	3	0	0	6	3
17753n08	17753n08	17753	chen_model	-8	xg	xg	0.223172	0.443388	0.103212	0.035258	-0.226717	0.487752	0.058478	0.050296	0.049331	0.051261	19.882356	19.50794	20.271425	3.524651	3.504448	3.544853	3.558127	340	495.59322	439.781708	582.622126	19829	1878	3	569	1901	1788	2	342	393	970	641	0	1255	7	726	278	0	0	1653	0	11	0	1028	538	0	19	32	117	0	410	252	35	295	272	0	155	359	0	0	0	501	0	144	111	156	1	68	0	19	100	10	264	0	263	0	1	3	0	0	0	0	97	0	0	12	39	1	0	0	1	0	7	2	22	398	0	2	12	64	31	17	27	20	21	9	1	3	24	62	0	0	0	4	0	0	0	3	19	35	74	3	0	46	0	22	2	20	1	101	13	2	0	0	2	14	5	0	1	0	3	0	0	6	5	0	0	1	17	0	0	7	9	0	0	3	6	7	2	3	0	5	8	26	5	2	64	5	0	18	0	0	4	44	0	1	2	2	0	2	0	0	3	0	4	2	39	0	0	0	0	36	0	0	0	6	38	0	0	1	6	0	0	8	0	0	0	1	0	0	3	0
17753p00	17753p00	17753	chen_model	0	xg	xg	-0.007389	-0.410221	0.069544	0.048355	0.374681	-0.336781	0.044283	0.285851	0.280932	0.29077	3.498329	3.43915	3.559581	1.673802	1.655351	1.692253	1.683705	79	134.111111	100.98147	217.172494	19450	1779	9067	3978	2407	41	0	8	4	30	71	0	2	1	3	170	0	1029	0	1	0	0	15	1	0	1	0	2	0	15	14	30	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	36	0	1	0	0	5	0	0	1	4	138	64	0	3	0	0	0	0	0	0	82	0	0	0	0	0	0	61	0	1	0	0	0	1	0	0	0	1	0	140	0	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	17	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	1	0	0	0	0	0	0
